"","X","Date","Temperature_c","Type","Method","Site","Comments"
"22363",114511,"2016-08-10",20.467,"Min","TinyTag","SEGC",""
"22364",11452,"2016-08-11",21.241,"Min","TinyTag","SEGC",""
"22365",11453,"2016-08-12",22.076,"Min","TinyTag","SEGC",""
"22366",11454,"2016-08-13",20.368,"Min","TinyTag","SEGC",""
"22367",11455,"2016-08-14",22.233,"Min","TinyTag","SEGC",""
"22368",11456,"2016-08-15",22.714,"Min","TinyTag","SEGC",""
"22369",11457,"2016-08-16",22.668,"Min","TinyTag","SEGC",""
"22370",11458,"2016-08-17",22.412,"Min","TinyTag","SEGC",""
"22371",11459,"2016-08-18",22.142,"Min","TinyTag","SEGC",""
"22372",11460,"2016-08-19",22.311,"Min","TinyTag","SEGC",""
"22373",114611,"2016-08-20",22.406,"Min","TinyTag","SEGC",""
"22374",11462,"2016-08-21",22.242,"Min","TinyTag","SEGC",""
"22375",11463,"2016-08-22",22.151,"Min","TinyTag","SEGC",""
"22376",11464,"2016-08-23",21.94,"Min","TinyTag","SEGC",""
"22377",11465,"2016-08-24",22.824,"Min","TinyTag","SEGC",""
"22378",11466,"2016-08-25",21.72,"Min","TinyTag","SEGC",""
"22379",11467,"2016-08-26",22.816,"Min","TinyTag","SEGC",""
"22380",11468,"2016-08-27",21.117,"Min","TinyTag","SEGC",""
"22381",11469,"2016-08-28",20.909,"Min","TinyTag","SEGC",""
"22382",11470,"2016-08-29",22.668,"Min","TinyTag","SEGC",""
"22383",114711,"2016-08-30",22.333,"Min","TinyTag","SEGC",""
"22384",11472,"2016-08-31",21.155,"Min","TinyTag","SEGC",""
"22385",11473,"2016-09-01",21.56,"Min","TinyTag","SEGC",""
"22386",11474,"2016-09-02",21.13,"Min","TinyTag","SEGC",""
"22387",11475,"2016-09-03",22.043,"Min","TinyTag","SEGC",""
"22388",11476,"2016-09-04",21.525,"Min","TinyTag","SEGC",""
"22389",11477,"2016-09-05",21.536,"Min","TinyTag","SEGC",""
"22390",11478,"2016-09-06",23.411,"Min","TinyTag","SEGC",""
"22391",11479,"2016-09-07",22.927,"Min","TinyTag","SEGC",""
"22392",11480,"2016-09-08",23.286,"Min","TinyTag","SEGC",""
"22393",114811,"2016-09-09",22.881,"Min","TinyTag","SEGC",""
"22394",11482,"2016-09-10",23.52,"Min","TinyTag","SEGC",""
"22395",11483,"2016-09-11",22.307,"Min","TinyTag","SEGC",""
"22396",11484,"2016-09-12",22.827,"Min","TinyTag","SEGC",""
"22397",11485,"2016-09-13",21.825,"Min","TinyTag","SEGC",""
"22398",11486,"2016-09-14",23.112,"Min","TinyTag","SEGC",""
"22399",11487,"2016-09-15",23.069,"Min","TinyTag","SEGC",""
"22400",11488,"2016-09-16",23.636,"Min","TinyTag","SEGC",""
"22401",11489,"2016-09-17",23.417,"Min","TinyTag","SEGC",""
"22402",11490,"2016-09-18",23.718,"Min","TinyTag","SEGC",""
"22403",114911,"2016-09-19",21.823,"Min","TinyTag","SEGC",""
"22404",11492,"2016-09-20",22.031,"Min","TinyTag","SEGC",""
"22405",11493,"2016-09-21",21.358,"Min","TinyTag","SEGC",""
"22406",11494,"2016-09-22",21.764,"Min","TinyTag","SEGC",""
"22407",11495,"2016-09-23",23.528,"Min","TinyTag","SEGC",""
"22408",11496,"2016-09-24",23.473,"Min","TinyTag","SEGC",""
"22409",11497,"2016-09-25",23.177,"Min","TinyTag","SEGC",""
"22410",11498,"2016-09-26",22.694,"Min","TinyTag","SEGC",""
"22411",11499,"2016-09-27",22.866,"Min","TinyTag","SEGC",""
"22412",11500,"2016-09-28",23.689,"Min","TinyTag","SEGC",""
"22413",115011,"2016-09-29",24.005,"Min","TinyTag","SEGC",""
"22414",11502,"2016-09-30",22.778,"Min","TinyTag","SEGC",""
"22415",11503,"2016-10-01",21.359,"Min","TinyTag","SEGC",""
"22416",11504,"2016-10-02",23.105,"Min","TinyTag","SEGC",""
"22417",11505,"2016-10-03",23.124,"Min","TinyTag","SEGC",""
"22418",11506,"2016-10-04",22.623,"Min","TinyTag","SEGC",""
"22419",11507,"2016-10-05",22.63,"Min","TinyTag","SEGC",""
"22420",11508,"2016-10-06",22.944,"Min","TinyTag","SEGC",""
"22421",11509,"2016-10-07",22.136,"Min","TinyTag","SEGC",""
"22422",115101,"2016-10-08",22.152,"Min","TinyTag","SEGC",""
"22423",115111,"2016-10-09",21.614,"Min","TinyTag","SEGC",""
"22424",11512,"2016-10-10",22.938,"Min","TinyTag","SEGC",""
"22425",11513,"2016-10-11",24.482,"Min","TinyTag","SEGC",""
